t,task_id,task_type,method,worker_id,model_id,request_id,success,failure_reason,format_ok,prompt_tokens,completion_tokens,total_tokens,latency_ms,cost_usd,cost_source,cost_exact_usd,cost_fallback_usd,decomp_used,decomp_request_id,raw_output_path,planner_raw_output_path,timestamp
1,humaneval_HumanEval/120,humaneval,cost_first,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773659930-Ff6Kv4IGVhmI7Sp60UAW,0,runtime_error,1,301,1,302,2611,2.1470999999999998e-05,usage_estimate,,2.1470999999999998e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/cost_first/0001_humaneval_HumanEval_120_solver.json,,1773659943
2,gsm8k_713,gsm8k,cost_first,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773659944-aKXGicUgCGChtztIFKGB,1,ok,1,140,92,232,8557,1.9139999999999996e-05,usage_estimate,,1.9139999999999996e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/cost_first/0002_gsm8k_713_solver.json,,1773659961
3,gsm8k_263,gsm8k,cost_first,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773659961-wK7Yft3vcDZySzM6vpnA,1,ok,1,154,105,259,11723,2.1434e-05,usage_estimate,,2.1434e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/cost_first/0003_gsm8k_263_solver.json,,1773659982
4,humaneval_HumanEval/127,humaneval,cost_first,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773659982-8LSOvmd6E9XLUiAx8Yl2,0,syntax_error,0,332,235,567,28430,4.7072e-05,usage_estimate,,4.7072e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/cost_first/0004_humaneval_HumanEval_127_solver.json,,1773660020
5,gsm8k_984,gsm8k,cost_first,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773660021-cSHxqNDtDkXlMQ4kK45X,0,wrong_answer,1,183,349,532,10628,4.7893e-05,usage_estimate,,4.7893e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/cost_first/0005_gsm8k_984_solver.json,,1773660041
6,gsm8k_736,gsm8k,cost_first,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773660042-ndYwejJlnvVbsaUhJelh,1,ok,1,136,125,261,4216,2.2156e-05,usage_estimate,,2.2156e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/cost_first/0006_gsm8k_736_solver.json,,1773660054
7,humaneval_HumanEval/132,humaneval,cost_first,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773660055-kzttfqC8Nl3ZkfbZGBdp,0,wrong_answer,1,211,67,278,4985,2.1680999999999998e-05,usage_estimate,,2.1680999999999998e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/cost_first/0007_humaneval_HumanEval_132_solver.json,,1773660069
8,humaneval_HumanEval/42,humaneval,cost_first,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773660069-mHdf1BdNXqQeF1WpTcAQ,0,runtime_error,1,191,1,192,1325,1.3661e-05,usage_estimate,,1.3661e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/cost_first/0008_humaneval_HumanEval_42_solver.json,,1773660081
9,gsm8k_1280,gsm8k,cost_first,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773660081-RUNnlv3vZiawypq6Refn,1,ok,1,143,55,198,6408,1.5653e-05,usage_estimate,,1.5653e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/cost_first/0009_gsm8k_1280_solver.json,,1773660098
10,humaneval_HumanEval/58,humaneval,cost_first,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773660099-4qkNAgF4STsz49r8UOV6,0,syntax_error,0,201,81,282,5852,2.2371e-05,usage_estimate,,2.2371e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/cost_first/0010_humaneval_HumanEval_58_solver.json,,1773660113
